,time,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10,mean,std,upper,lower
252,252,12.637362637362637,10.027472527472527,10.43956043956044,11.813186813186814,9.065934065934066,8.928571428571429,10.164835164835164,10.576923076923077,10.027472527472527,9.203296703296703,10.288461538461538,1.1842079271441532,11.02244121596998,9.554481860953096
253,253,12.774725274725276,10.027472527472527,10.43956043956044,12.087912087912088,9.065934065934066,8.928571428571429,10.302197802197803,10.714285714285714,10.027472527472527,9.203296703296703,10.357142857142858,1.2576164395679776,11.136621602036495,9.57766411224922
254,254,12.912087912087912,10.027472527472527,10.43956043956044,12.5,9.065934065934066,9.065934065934066,10.302197802197803,10.714285714285714,10.302197802197803,9.203296703296703,10.4532967032967,1.330914084446646,11.278205799159121,9.62838760743428
255,255,12.912087912087912,10.027472527472527,10.43956043956044,12.5,9.065934065934066,9.065934065934066,10.302197802197803,10.714285714285714,10.302197802197803,9.340659340659341,10.467032967032965,1.317217848890793,11.283453048148957,9.650612885916974
256,256,12.912087912087912,10.027472527472527,10.43956043956044,12.5,9.065934065934066,9.065934065934066,10.302197802197803,10.851648351648352,10.302197802197803,9.340659340659341,10.48076923076923,1.3207941204094216,11.299405907937112,9.662132553601348
257,257,12.912087912087912,10.027472527472527,10.43956043956044,12.774725274725276,9.065934065934066,9.203296703296703,10.302197802197803,10.851648351648352,10.302197802197803,9.340659340659341,10.521978021978022,1.3539494196539357,11.361164566520861,9.682791477435183
258,258,12.912087912087912,10.027472527472527,10.43956043956044,12.774725274725276,9.065934065934066,9.203296703296703,10.302197802197803,10.989010989010989,10.302197802197803,9.478021978021978,10.54945054945055,1.3455619041907236,11.383438458049756,9.715462640851342
259,259,12.912087912087912,10.164835164835164,10.43956043956044,12.912087912087912,9.065934065934066,9.203296703296703,10.302197802197803,11.401098901098901,10.302197802197803,9.615384615384615,10.631868131868131,1.3739315900224585,11.483439753918748,9.780296509817514
260,260,12.912087912087912,10.164835164835164,10.576923076923077,12.912087912087912,9.065934065934066,9.340659340659341,10.302197802197803,11.401098901098901,10.302197802197803,9.752747252747254,10.673076923076923,1.3459513689892326,11.507306224459152,9.838847621694695
261,261,12.912087912087912,10.164835164835164,10.576923076923077,12.912087912087912,9.065934065934066,9.340659340659341,10.302197802197803,11.675824175824175,10.302197802197803,9.752747252747254,10.700549450549453,1.3651293973632332,11.546665417067544,9.854433484031361
262,262,12.912087912087912,10.164835164835164,10.576923076923077,12.912087912087912,9.065934065934066,9.340659340659341,10.43956043956044,11.675824175824175,10.302197802197803,9.752747252747254,10.714285714285715,1.361361606897299,11.558066380078557,9.870505048492873
263,263,12.912087912087912,10.302197802197803,10.576923076923077,12.912087912087912,9.065934065934066,9.340659340659341,10.43956043956044,11.675824175824175,10.302197802197803,9.752747252747254,10.728021978021978,1.355883578834977,11.568407326845222,9.887636629198735
264,264,12.912087912087912,10.302197802197803,10.576923076923077,12.912087912087912,9.065934065934066,9.340659340659341,10.43956043956044,11.675824175824175,10.43956043956044,9.752747252747254,10.741758241758241,1.351779875868604,11.579600089131437,9.903916394385044
265,265,13.186813186813186,10.302197802197803,10.576923076923077,12.912087912087912,9.203296703296703,9.340659340659341,10.43956043956044,11.675824175824175,10.576923076923077,9.752747252747254,10.796703296703296,1.3815400853953193,11.65299071304315,9.94041588036344
266,266,13.186813186813186,10.302197802197803,10.576923076923077,12.912087912087912,9.203296703296703,9.340659340659341,10.43956043956044,11.675824175824175,10.714285714285714,9.752747252747254,10.810439560439558,1.3797938465766684,11.665644646746328,9.955234474132789
267,267,13.186813186813186,10.302197802197803,10.576923076923077,12.912087912087912,9.203296703296703,9.478021978021978,10.714285714285714,11.813186813186814,10.714285714285714,9.89010989010989,10.87912087912088,1.3564246491784266,11.719841586817418,10.03840017142434
268,268,13.324175824175825,10.43956043956044,10.576923076923077,12.912087912087912,9.203296703296703,9.478021978021978,10.714285714285714,11.813186813186814,10.714285714285714,9.89010989010989,10.906593406593405,1.3769800330646147,11.760054473216801,10.05313233997001
269,269,13.324175824175825,10.576923076923077,10.576923076923077,12.912087912087912,9.203296703296703,9.478021978021978,10.714285714285714,11.813186813186814,10.714285714285714,9.89010989010989,10.92032967032967,1.3724812076302073,11.771002336060095,10.069657004599245
270,270,13.324175824175825,10.576923076923077,10.576923076923077,12.912087912087912,9.203296703296703,9.478021978021978,10.714285714285714,11.813186813186814,10.714285714285714,9.89010989010989,10.92032967032967,1.3724812076302073,11.771002336060095,10.069657004599245
271,271,13.324175824175825,10.576923076923077,10.714285714285714,12.912087912087912,9.340659340659341,9.615384615384615,10.714285714285714,11.813186813186814,10.714285714285714,9.89010989010989,10.961538461538462,1.3346107474166067,11.788738772847388,10.134338150229535
272,272,13.461538461538462,10.576923076923077,10.714285714285714,12.912087912087912,9.340659340659341,9.615384615384615,10.989010989010989,11.95054945054945,10.714285714285714,9.89010989010989,11.016483516483515,1.3687336550573905,11.8648334250648,10.168133607902229
273,273,13.461538461538462,10.851648351648352,10.714285714285714,12.912087912087912,9.615384615384615,9.615384615384615,10.989010989010989,11.95054945054945,10.714285714285714,10.027472527472527,11.085164835164834,1.3128336204621027,11.898867543347869,10.271462126981799
274,274,13.598901098901099,10.851648351648352,11.126373626373626,12.912087912087912,9.615384615384615,9.615384615384615,11.263736263736265,12.087912087912088,10.714285714285714,10.027472527472527,11.18131868131868,1.343066655118716,12.013760018520081,10.34887734411728
275,275,13.598901098901099,10.851648351648352,11.126373626373626,12.912087912087912,9.615384615384615,9.615384615384615,11.263736263736265,12.087912087912088,10.714285714285714,10.027472527472527,11.18131868131868,1.343066655118716,12.013760018520081,10.34887734411728
276,276,13.736263736263735,10.851648351648352,11.126373626373626,12.912087912087912,9.615384615384615,9.615384615384615,11.401098901098901,12.087912087912088,10.714285714285714,10.027472527472527,11.208791208791208,1.3724048292552555,12.059416534714382,10.358165882868034
277,277,13.873626373626374,10.851648351648352,11.126373626373626,13.04945054945055,9.615384615384615,9.615384615384615,11.401098901098901,12.087912087912088,10.714285714285714,10.027472527472527,11.236263736263735,1.419856955554162,12.116300194775723,10.356227277751747
278,278,13.873626373626374,10.851648351648352,11.126373626373626,13.04945054945055,9.615384615384615,9.615384615384615,11.538461538461538,12.087912087912088,10.714285714285714,10.027472527472527,11.249999999999998,1.4222911875168343,12.131545211113611,10.368454788886385
279,279,13.873626373626374,10.851648351648352,11.126373626373626,13.04945054945055,9.615384615384615,9.615384615384615,11.675824175824175,12.087912087912088,10.714285714285714,10.027472527472527,11.263736263736263,1.426045009377055,12.147608117743605,10.37986440972892
