label, neighbor, wall area
220,1533,23.6584
222,143,10.7921
222,855,18.6704
222,1385,7.13875
222,1460,8.8578
222,1660,8.0869
230,20,10.2961
230,78,11.6918
230,154,11.2919
230,237,19.7814
230,348,9.10999
230,404,5.26478
235,46,26.1792
235,344,17.1707
235,1156,5.03172
235,1267,15.5738
235,1505,12.6328
235,1605,7.87966
237,154,14.061
237,230,19.7814
237,404,12.2168
237,1558,9.45597
246,9,20.5425
246,550,10.1596
246,777,8.06829
246,1003,16.6095
246,1306,1.7213
251,140,9.27669
251,324,18.4013
251,333,7.68008
251,946,6.15208
251,1512,12.2687
251,1643,28.2691
253,443,7.47939
253,477,13.6478
253,1001,20.9012
276,202,7.45977
276,426,11.7145
276,576,15.2982
276,764,4.63949
276,1546,28.2686
276,1606,14.6724
278,349,10.5807
278,391,2.94223
278,711,14.2868
278,777,8.90705
278,1003,16.0944
278,1138,6.94502
278,1325,20.5254
285,13,27.0796
285,418,5.0971
285,948,0.693557
310,200,18.3961
310,964,14.3184
310,1230,10.1961
310,1261,7.31164
310,1480,1.53516
310,1534,13.5077
311,368,11.9971
311,426,3.97216
311,501,18.1128
311,1166,16.411
311,1229,17.0291
324,17,0.0169973
324,251,18.4013
324,946,7.4942
324,1503,27.8953
324,1512,17.8904
326,51,17.3041
326,1045,12.0901
326,1297,10.1926
326,1566,10.5154
328,92,6.09459
328,430,9.04806
328,539,1.90639
328,683,5.59797
328,1104,20.3492
328,1610,6.9156
329,188,12.0903
329,371,17.176
329,972,10.3643
329,1046,22.174
329,1140,8.08584
329,1423,2.24705
329,1477,13.3924
331,652,13.5721
331,760,12.1173
331,812,3.9756
331,892,24.3339
331,1147,8.84626
331,1337,11.7644
331,1442,10.9396
333,202,8.58258
333,251,7.68008
333,362,7.12159
333,501,6.09274
333,639,26.1157
333,1512,7.94935
333,1643,11.8237
342,381,13.8519
342,550,0.150878
342,649,3.56712
342,891,6.35979
342,1194,11.3308
342,1306,23.3873
342,1442,11.9586
344,146,6.22311
344,187,12.8525
344,235,17.1707
344,955,9.787
344,1267,24.2135
344,1298,8.11136
344,1605,3.8729
346,623,3.47922
346,1206,23.1296
346,1412,4.83955
348,78,10.3798
348,154,13.1195
348,230,9.10999
348,964,14.1366
348,1235,4.82553
348,1266,14.7359
349,278,10.5807
349,381,18.7149
349,883,8.02582
349,1003,21.0551
349,1138,18.5686
349,1306,1.26912
362,87,6.97985
362,333,7.12159
362,613,13.6485
362,639,12.3486
362,1210,16.5824
362,1581,21.9639
362,1643,11.2072
368,311,11.9971
368,827,9.40974
368,931,5.30962
368,989,7.62388
368,1166,8.81695
368,1229,6.85135
368,1629,12.6762
370,417,10.6352
370,540,7.55621
370,607,9.05299
370,664,9.79629
370,698,26.0501
370,1378,6.572
370,1486,10.3434
371,329,17.176
371,836,14.76
371,1140,14.3838
371,1146,6.67016
371,1477,5.696
371,1563,6.65687
371,1580,14.0528
373,115,3.5061
373,395,0.0242857
373,905,0.395553
373,1462,7.05431
373,1577,0.587222
381,342,13.8519
381,349,18.7149
381,649,12.2984
381,883,3.82199
381,1306,8.30605
381,1387,8.51461
391,207,10.045
391,278,2.94223
391,460,12.0375
391,650,8.36948
391,1081,6.88397
391,1138,27.7718
391,1325,14.7512
395,373,0.0242857
395,795,15.6822
395,905,15.2999
395,959,23.0915
395,1510,0.417071
395,1577,10.7013
402,46,12.7426
402,645,12.5019
402,1064,10.9441
404,20,9.45436
404,30,24.046
404,230,5.26478
404,237,12.2168
404,829,13.9522
404,1558,7.26102
417,370,10.6352
417,664,13.9708
417,731,20.529
417,827,5.4972
417,1486,16.7864
417,1629,9.18713
418,285,5.0971
418,948,18.2133
418,1105,7.99583
418,1261,15.0543
425,576,6.24412
425,652,26.7557
425,1229,6.28754
425,1337,5.24443
425,1378,6.30501
425,1606,24.9443
426,202,13.5495
426,276,11.7145
426,311,3.97216
426,501,4.06426
426,1229,9.2055
426,1606,23.8244
430,3,9.94797
430,328,9.04806
