Cell, Cell, Area (µm²)
3459,3485,2.07825
3459,3777,6.80605
3459,3821,48.6215
1870,1942,14.4055
1870,2356,17.4626
1870,2204,15.5348
1870,2124,17.9876
1870,2111,20.2355
1870,1997,30.8446
1869,1942,7.17187
1869,2521,8.16371
1869,1870,13.2372
1869,2356,12.7638
1869,2341,15.2995
1869,2204,21.4606
1869,2202,82.3709
1869,2136,6.02273
1869,2124,29.4229
1869,2638,7.39726
1869,2633,1.35906
1867,1927,35.7065
1867,2544,11.0475
1867,2494,4.96729
1867,2470,15.3522
1867,2465,6.36414
1867,2253,58.2237
1867,2175,12.7296
1867,2023,0.663584
1867,2022,47.1477
1867,2630,35.1336
1867,2602,64.0362
2512,2927,18.9675
2512,2828,11.2099
2512,2719,54.1775
2512,2629,6.27679
2512,2601,13.6253
2512,3098,19.0135
1041,1132,36.1187
1041,1056,1.52436
1041,1565,13.9115
1041,1430,46.141
1041,1385,19.3728
1041,1371,18.0557
1041,1244,0.397151
1041,1237,1.0375
4794,4807,16.2337
4794,4856,8.79568
1039,1585,21.6578
1039,1584,12.3679
1039,1447,10.9444
1039,1300,26.0822
1039,1211,6.71366
1039,1188,5.14736
1038,1088,74.6604
1038,1744,11.3933
1038,1726,21.3359
1038,1724,36.5299
1038,1431,3.3579
1038,1394,3.12405
1038,1373,35.5828
1038,1291,23.4928
1037,1096,14.8602
1037,1533,33.6791
1037,1428,26.7573
1037,1371,27.9664
1037,1290,9.21697
1036,1129,11.852
1036,1910,21.2616
1036,1096,4.52829
1036,1881,59.107
1036,1037,20.6304
1036,1753,44.0898
1036,1744,0.220633
1036,1533,21.111
1036,1502,28.7332
1036,1442,13.7353
1036,1428,31.0484
1036,2065,14.6079
1036,1290,92.3257
1036,1289,5.29813
1036,1275,18.1997
1036,1955,18.3574
3783,4189,15.5854
3783,5285,16.632
3783,5272,0.0562714
3783,3877,0.182154
3783,4225,7.48813
3783,4030,9.56106
3783,3812,39.7691
3455,3463,1.43381
3455,3783,43.0631
3455,5272,9.89046
3455,3679,12.0263
3455,3605,3.20456
3455,3592,20.1235
4448,4776,18.8734
4545,4909,42.6337
4545,4813,6.38582
4545,4573,7.97394
3036,3480,5.05624
3036,3260,1.5646
3036,3258,43.2523
3036,3147,8.79107
3034,3065,17.022
3034,3440,27.0917
3034,3415,49.3974
3034,3588,1.44626
3034,3228,2.40885
3034,3224,8.21835
3034,3165,7.07241
3033,3567,0.535068
3033,3190,26.6305
3032,3791,0.0479167
3032,3430,19.894
3032,3319,10.6722
3032,3278,31.2992
3032,3566,8.02675
3032,3537,76.8726
3031,3317,11.295
3031,3222,6.2435
3031,3161,37.4376
3031,3099,23.8557
1026,1076,7.7984
1026,1051,20.0756
1026,1509,7.6569
1026,1272,32.1283
1026,1171,48.868
3452,3475,13.7578
3452,3652,4.47332
3452,3619,15.209
3452,4073,0.031426
3452,3864,10.4825
3452,3568,38.4887
3452,3569,10.2868
3452,4026,15.0585
4544,5308,18.4511
4544,4736,38.9543
4544,4695,20.5482
4544,4638,0.0926137
4446,4448,6.31953
4446,4812,14.9101
4446,4695,14.5505
4446,4638,12.4242
4446,4556,4.29338
3449,3971,8.21984
3449,3956,34.0361
3449,3696,56.0397
3449,3588,11.6201
3449,3587,10.3498
3449,4070,22.8952
3449,3547,8.8531
3449,3536,25.6004
3449,3505,24.6793
3449,4211,51.3492
3449,4023,24.9308
3449,3489,21.3489
3777,3790,8.07398
3777,4198,4.52115
3777,3917,9.9366
3777,4056,41.0693
3777,3821,52.9027
4543,5308,0.310275
4543,4849,12.8874
4543,4570,3.74747
4543,4767,8.85171
1018,1110,28.0123
1018,1076,33.4591
1018,1051,0.035296
1018,1634,43.8492
1018,1426,24.7422
1018,1368,5.68814
1018,1326,16.7711
3019,3066,18.034
3019,3475,43.9856
3019,3452,0.0344345
3019,3374,10.417
3019,3373,4.94335
3019,3352,3.68324
3019,3569,0.912805
3019,3116,22.5033
2496,3065,6.97373
2496,3034,20.7273
2496,3004,14.0524
2496,2724,5.59913
2496,2693,0.382443
2496,2608,39.0382
2496,2583,13.898
1847,1927,47.7224
1847,2516,6.74094
1847,2515,6.10241
1847,2494,29.2576
1847,2428,20.9589
1847,2228,4.76087
1847,2202,12.5346
1847,2175,9.56757
1847,2023,48.3379
1012,1039,19.9933
1012,1447,25.0936
1012,1237,10.463
1012,1211,14.7976
1012,1188,26.3767
1011,1098,40.0419
1011,1041,15.6265
1011,1012,8.70663
1011,1681,19.7485
1011,1624,20.7384
1011,1621,7.61135
1011,1447,5.29335
1011,1430,38.4633
1011,1371,13.3096
1011,1237,25.4155
1011,1211,24.1894
1009,1146,35.4753
1009,1097,11.7853
1009,1051,5.52889
1009,1655,0.041316
1009,1639,0.456791
1009,1221,19.3999
2495,2547,2.2172
2495,2545,0.205842
2495,3065,2.41134
2495,2514,1.67981
2495,3007,58.1605
2495,3004,17.9963
2495,2858,8.10194
2495,2655,24.8006
2495,2583,7.94489
2494,2515,72.8717
