,time,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30,sim_31,sim_32,sim_33,sim_34,sim_35,sim_36,sim_37,sim_38,sim_39,sim_40,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50,mean,std,upper,lower
22,22,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.0961313012895662,0.08763339776889048,0.12042203985932001,0.0718405627198124
23,23,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.10082063305978897,0.09476840965195184,0.1270890960217956,0.07455217009778232
24,24,0.11723329425556858,0.0,0.23446658851113716,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.10550996483001171,0.09249171844906431,0.13114736118703238,0.07987256847299104
25,25,0.11723329425556858,0.0,0.23446658851113716,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.10785463071512309,0.09426392416325767,0.13398325743398393,0.08172600399626226
26,26,0.11723329425556858,0.0,0.23446658851113716,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.3516998827667057,0.11723329425556858,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.11019929660023448,0.09882511131758118,0.13759221989499187,0.08280637330547706
27,27,0.11723329425556858,0.0,0.23446658851113716,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.3516998827667057,0.11723329425556858,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.11488862837045723,0.09617855645862489,0.14154796408529496,0.08822929265561949
28,28,0.11723329425556858,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.23446658851113716,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.3516998827667057,0.11723329425556858,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.12661195779601409,0.100038080878031,0.15434109909938573,0.09888281649264244
29,29,0.11723329425556858,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.23446658851113716,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.3516998827667057,0.11723329425556858,0.0,0.3516998827667057,0.0,0.11723329425556858,0.3516998827667057,0.23446658851113716,0.0,0.12895662368112545,0.10391620872543,0.15776072718018516,0.10015252018206575
30,30,0.11723329425556858,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.23446658851113716,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.46893317702227433,0.11723329425556858,0.0,0.3516998827667057,0.0,0.11723329425556858,0.3516998827667057,0.23446658851113716,0.0,0.13833528722157096,0.11030563590738644,0.1689104495776282,0.1077601248655137
31,31,0.11723329425556858,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.23446658851113716,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.46893317702227433,0.11723329425556858,0.0,0.46893317702227433,0.0,0.11723329425556858,0.3516998827667057,0.23446658851113716,0.0,0.1453692848769051,0.11249610198456987,0.17655161345247947,0.11418695630133072
